"seed","n","alpha","truth","alphahat","p0hat","p1hat","p2hat","p3hat"
1,100,0,"A",0.044611212196115,0.090166493355765,0.586795775517631,0.0694173368089942,0.253531966078642
2,100,0,"A",0.0771577497691334,0.240434468421477,0.340798964074972,0.00366558518273098,0.415198065689701
3,100,0,"A",0.047025453761356,0.159511676722208,0.476530717238278,0.0362783324121497,0.32770906166915
4,100,0,"A",0.015586747735562,0.193697287206312,0.201320174388616,0.421376673100867,0.183596484557928
5,100,0,"A",0.0461383390542467,0.131189555962265,0.559641464562482,0.0406502197078049,0.268512674189328
6,100,0,"A",0.0686363793535081,0.325925823734084,0.251622285608503,0.00102092043954379,0.42157162153165
7,100,0,"A",0.0746965628358188,0.403373654398796,0.0391763421394639,0.202879033807529,0.354581598231942
8,100,0,"A",0.0186287976506042,0.183461728873623,0.372484362820306,0.224398950120006,0.219649189190726
9,100,0,"A",0.0075274199855598,0.163269779464482,0.154079678189041,0.622153588263014,0.0604857910399189
10,100,0,"A",0.0321699232837398,0.249352319173989,0.0610924680562901,0.646169063569222,0.0433203788232906
11,100,0,"A",0.00898443345503273,0.184271929954661,0.160280490754182,0.481597120471442,0.173850673121461
12,100,0,"A",0.00253573280525475,0.173668965034356,0.348540926941682,0.34691316926965,0.130877298172297
13,100,0,"A",0.0392920116781683,0.324578185572503,0.000715604673433441,0.449564523816342,0.225234866680988
14,100,0,"A",0.0348928394486928,0.251010367185352,0.336389464779728,0.1016365523065,0.310974784884606
15,100,0,"A",0.0716739215181484,0.177775956160315,0.494551819554898,0.00646276694305451,0.321090949971487
16,100,0,"A",0.040035060650532,0.336448899858551,0.019683269819546,0.403336375082133,0.24056519329643
17,100,0,"A",0.0490138784780699,0.157022695091135,0.531647285205876,0.0234556980383846,0.28790753828017
18,100,0,"A",0.0447964910339246,0.334290527942907,0.112056480445362,0.379196197132376,0.17447513461221
19,100,0,"A",0.00922227719190308,0.173463563774223,0.319850133711422,0.284873951811443,0.221815159615636
20,100,0,"A",0.0858003846993389,0.447262296045554,0.0596542068535768,0.0143151001498267,0.478783652398551
21,100,0,"A",0.059203356882777,0.369598832666265,0.0673311689587965,0.186183574122977,0.376916163811747
22,100,0,"A",0.0565336660874202,0.153039240062364,0.537195803076206,0.0164012778217273,0.293334611094357
23,100,0,"A",0.0219983903342954,0.266016388288003,0.150704981489254,0.3606360782134,0.222639866880122
24,100,0,"A",0.0532312712404011,0.142323592663073,0.49703290124272,0.0410694567108811,0.319522789507661
